"Komune nr";"kommunenavn";"fylke";"sone";"bank kontonr";"orgnummer";"navn";"organisjasjonsform";"information"
301;"Oslo";"Oslo fylke";1;63450603017;990488835;"OSLO KEMNERKONTOR";"Administrativ enhet - offentlig sektor";"inntekstskatt"
402;"Kongsvinger";"Hedmark";2;;;;;
403;"Hamar";"Hedmark";1;;;;;
412;"Ringsaker";"Hedmark";1;;;;;
415;"Løten";"Hedmark";1;;;;;
417;"Stange";"Hedmark";1;;;;;
418;"Nord-Odal";"Hedmark";2;;;;;
419;"Sør-Odal";"Hedmark";2;;;;;
420;"Eidskog";"Hedmark";2;;;;;
423;"Grue";"Hedmark";2;;;;;
425;"Åsnes";"Hedmark";2;;;;;
426;"Våler";"Hedmark";2;;;;;
427;"Elverum";"Hedmark";1;;;;;
428;"Trysil";"Hedmark";2;;;;;
429;"Åmot";"Hedmark";2;;;;;
430;"Stor-Elvdal";"Hedmark";3;;;;;
432;"Rendalen";"Hedmark";3;;;;;
434;"Engerdal";"Hedmark";3;;;;;
436;"Tolga";"Hedmark";3;;;;;
437;"Tynset";"Hedmark";3;;;;;
438;"Alvdal";"Hedmark";3;;;;;
439;"Folldal";"Hedmark";3;;;;;
441;"Os";"Hedmark";3;;;;;
501;"Lillehammer";"Oppland fylke";1;;;;;
502;"Gjøvik";"Oppland fylke";1;;;;;
511;"Dovre";"Oppland fylke";3;;;;;
512;"Lesja";"Oppland fylke";3;;;;;
513;"Skjåk";"Oppland fylke";3;;;;;
514;"Lom";"Oppland fylke";3;;;;;
515;"Vågå";"Oppland fylke";3;;;;;
516;"Nord-Fron";"Oppland fylke";2;;;;;
517;"Sel";"Oppland fylke";3;;;;;
519;"Sør-Fron";"Oppland fylke";2;;;;;
520;"Ringebu";"Oppland fylke";2;;;;;
521;"Øyer";"Oppland fylke";1;;;;;
522;"Gausdal";"Oppland fylke";"1a";;;;;
528;"Østre Toten";"Oppland fylke";1;;;;;
529;"Vestre Toten";"Oppland fylke";1;;;;;
532;"Jevnaker";"Oppland fylke";1;;;;;
533;"Lunner";"Oppland fylke";1;;;;;
534;"Gran";"Oppland fylke";1;;;;;
536;"Søndre Land";"Oppland fylke";2;;;;;
538;"Nordre Land";"Oppland fylke";2;;;;;
540;"Sør-Aurdal";"Oppland fylke";3;;;;;
541;"Etnedal";"Oppland fylke";3;;;;;
542;"Nord-Aurdal";"Oppland fylke";3;;;;;
543;"Vestre Slidre";"Oppland fylke";3;;;;;
544;"Øystre Slidre";"Oppland fylke";3;;;;;
545;"Vang";"Oppland fylke";3;;;;;
602;"Drammen";"Buskerud fylke";1;;;;;
604;"Kongsberg";"Buskerud fylke";1;;;;;
605;"Ringerike";"Buskerud fylke";1;;;;;
612;"Hole";"Buskerud fylke";1;;;;;
615;"Flå";"Buskerud fylke";2;;;;;
616;"Nes";"Buskerud fylke";2;;;;;
617;"Gol";"Buskerud fylke";2;;;;;
618;"Hemsedal";"Buskerud fylke";2;;;;;
619;"Ål";"Buskerud fylke";2;;;;;
620;"Hol";"Buskerud fylke";2;;;;;
621;"Sigdal";"Buskerud fylke";"1a";;;;;
622;"Krødsherad";"Buskerud fylke";1;;;;;
623;"Modum";"Buskerud fylke";1;;;;;
624;"Øvre Eiker";"Buskerud fylke";1;;;;;
625;"Nedre Eiker";"Buskerud fylke";1;;;;;
626;"Lier";"Buskerud fylke";1;;;;;
627;"Røyken";"Buskerud fylke";1;;;;;
628;"Hurum";"Buskerud fylke";1;;;;;
631;"Flesberg";"Buskerud fylke";1;;;;;
632;"Rollag";"Buskerud fylke";2;;;;;
633;"Nore og Uvdal";"Buskerud fylke";2;;;;;
701;"Horten";"Vestfold fylke";1;;;;;
702;"Holmestrand";"Vestfold fylke";1;;;;;
704;"Tønsberg";"Vestfold fylke";1;;;;;
706;"Sandefjord";"Vestfold fylke";1;;;;;
709;"Larvik";"Vestfold fylke";1;;;;;
711;"Svelvik";"Vestfold fylke";1;;;;;
713;"Sande";"Vestfold fylke";1;;;;;
714;"Hof";"Vestfold fylke";1;;;;;
716;"Re";"Vestfold fylke";1;;;;;
719;"Andebu";"Vestfold fylke";1;;;;;
720;"Stokke";"Vestfold fylke";1;;;;;
722;"Nøtterøy";"Vestfold fylke";1;;;;;
723;"Tjøme";"Vestfold fylke";1;;;;;
728;"Lardal";"Vestfold fylke";1;;;;;
805;"Porsgrunn";"Telemark fylke";1;;;;;
806;"Skien";"Telemark fylke";1;;;;;
807;"Notodden";"Telemark fylke";1;;;;;
811;"Siljan";"Telemark fylke";1;;;;;
814;"Bamble";"Telemark fylke";1;;;;;
815;"Kragerø";"Telemark fylke";1;;;;;
817;"Drangedal";"Telemark fylke";2;;;;;
819;"Nome";"Telemark fylke";2;;;;;
821;"Bø";"Telemark fylke";1;;;;;
822;"Sauherad";"Telemark fylke";1;;;;;
826;"Tinn";"Telemark fylke";2;;;;;
827;"Hjartdal";"Telemark fylke";2;;;;;
828;"Seljord";"Telemark fylke";2;;;;;
829;"Kviteseid";"Telemark fylke";2;;;;;
830;"Nissedal";"Telemark fylke";2;;;;;
831;"Fyresdal";"Telemark fylke";2;;;;;
833;"Tokke";"Telemark fylke";2;;;;;
834;"Vinje";"Telemark fylke";2;;;;;
901;"Risør";"Aust-Agder fylke";2;;;;;
904;"Grimstad";"Aust-Agder fylke";1;;;;;
906;"Arendal";"Aust-Agder fylke";1;;;;;
911;"Gjerstad";"Aust-Agder fylke";2;;;;;
912;"Vegårshei";"Aust-Agder fylke";"1a";;;;;
914;"Tvedestrand";"Aust-Agder fylke";1;;;;;
919;"Froland";"Aust-Agder fylke";1;;;;;
926;"Lillesand";"Aust-Agder fylke";1;;;;;
928;"Birkenes";"Aust-Agder fylke";1;;;;;
929;"Åmli";"Aust-Agder fylke";2;;;;;
935;"Iveland";"Aust-Agder fylke";"1a";;;;;
937;"Evje og Hornnes";"Aust-Agder fylke";2;;;;;
938;"Bygland";"Aust-Agder fylke";2;;;;;
940;"Valle";"Aust-Agder fylke";2;;;;;
941;"Bykle";"Aust-Agder fylke";2;;;;;
1001;"Kristiansand";"Vest-Agder fylke";1;;;;;
1002;"Mandal";"Vest-Agder fylke";1;;;;;
1003;"Farsund";"Vest-Agder fylke";1;;;;;
1004;"Flekkefjord";"Vest-Agder fylke";1;;;;;
1014;"Vennesla";"Vest-Agder fylke";1;;;;;
1017;"Songdalen";"Vest-Agder fylke";1;;;;;
1018;"Søgne";"Vest-Agder fylke";1;;;;;
1021;"Marnardal";"Vest-Agder fylke";1;;;;;
1026;"Åseral";"Vest-Agder fylke";"1a";;;;;
1027;"Audnedal";"Vest-Agder fylke";"1a";;;;;
1029;"Lindesnes";"Vest-Agder fylke";1;;;;;
1032;"Lyngdal";"Vest-Agder fylke";1;;;;;
1034;"Hægebostad";"Vest-Agder fylke";"1a";;;;;
1037;"Kvinesdal";"Vest-Agder fylke";1;;;;;
1046;"Sirdal";"Vest-Agder fylke";"1a";;;;;
1101;"Eigersund";"Rogaland fylke";1;;;;;
1102;"Sandnes";"Rogaland fylke";1;;;;;
1103;"Stavanger";"Rogaland fylke";1;;;;;
1106;"Haugesund";"Rogaland fylke";1;;;;;
1111;"Sokndal";"Rogaland fylke";1;;;;;
1112;"Lund";"Rogaland fylke";1;;;;;
1114;"Bjerkreim";"Rogaland fylke";1;;;;;
1119;"Hå";"Rogaland fylke";1;;;;;
1120;"Klepp";"Rogaland fylke";1;;;;;
1121;"Time";"Rogaland fylke";1;;;;;
1122;"Gjesdal";"Rogaland fylke";1;;;;;
1124;"Sola";"Rogaland fylke";1;;;;;
1127;"Randaberg";"Rogaland fylke";1;;;;;
1129;"Forsand";"Rogaland fylke";1;;;;;
1130;"Strand";"Rogaland fylke";1;;;;;
1133;"Hjelmeland";"Rogaland fylke";2;;;;;
1134;"Suldal";"Rogaland fylke";2;;;;;
1135;"Sauda";"Rogaland fylke";2;;;;;
1141;"Finnøy";"Rogaland fylke";"1a";;;;;
1142;"Rennesøy";"Rogaland fylke";1;;;;;
1144;"Kvitsøy";"Rogaland fylke";2;;;;;
1145;"Bokn";"Rogaland fylke";1;;;;;
1146;"Tysvær";"Rogaland fylke";1;;;;;
1149;"Karmøy";"Rogaland fylke";1;;;;;
1151;"Utsira";"Rogaland fylke";2;;;;;
1160;"Vindafjord";"Rogaland fylke";"1a";;;;;
1201;"Bergen";"Hordaland fylke";1;;;;;
1211;"Etne";"Hordaland fylke";"1a";;;;;
1216;"Sveio";"Hordaland fylke";1;;;;;
1219;"Bømlo";"Hordaland fylke";"1a";;;;;
1221;"Stord";"Hordaland fylke";1;;;;;
1222;"Fitjar";"Hordaland fylke";1;;;;;
1223;"Tysnes";"Hordaland fylke";2;;;;;
1224;"Kvinnherad";"Hordaland fylke";2;;;;;
1227;"Jondal";"Hordaland fylke";2;;;;;
1228;"Odda";"Hordaland fylke";2;;;;;
1231;"Ullensvang";"Hordaland fylke";2;;;;;
1232;"Eidfjord";"Hordaland fylke";2;;;;;
1233;"Ulvik";"Hordaland fylke";2;;;;;
1234;"Granvin";"Hordaland fylke";2;;;;;
1235;"Voss";"Hordaland fylke";1;;;;;
1238;"Kvam";"Hordaland fylke";"1a";;;;;
1241;"Fusa";"Hordaland fylke";1;;;;;
1242;"Samnanger";"Hordaland fylke";1;;;;;
1243;"Os";"Hordaland fylke";1;;;;;
1244;"Austevoll";"Hordaland fylke";1;;;;;
1245;"Sund";"Hordaland fylke";1;;;;;
1246;"Fjell";"Hordaland fylke";1;;;;;
1247;"Askøy";"Hordaland fylke";1;;;;;
1251;"Vaksdal";"Hordaland fylke";1;;;;;
1252;"Modalen";"Hordaland fylke";"1a";;;;;
1253;"Osterøy";"Hordaland fylke";1;;;;;
1256;"Meland";"Hordaland fylke";1;;;;;
1259;"Øygarden";"Hordaland fylke";1;;;;;
1260;"Radøy";"Hordaland fylke";1;;;;;
1263;"Lindås";"Hordaland fylke";1;;;;;
1264;"Austrheim";"Hordaland fylke";1;;;;;
1265;"Fedje";"Hordaland fylke";2;;;;;
1266;"Masfjorden";"Hordaland fylke";2;;;;;
1401;"Flora";"Sogn og fjordane fylke";"1a";;;;;
1411;"Gulen";"Sogn og fjordane fylke";2;;;;;
1412;"Solund";"Sogn og fjordane fylke";2;;;;;
1413;"Hyllestad";"Sogn og fjordane fylke";2;;;;;
1416;"Høyanger";"Sogn og fjordane fylke";2;;;;;
1417;"Vik";"Sogn og fjordane fylke";2;;;;;
1418;"Balestrand";"Sogn og fjordane fylke";2;;;;;
1419;"Leikanger";"Sogn og fjordane fylke";2;;;;;
1420;"Sogndal";"Sogn og fjordane fylke";"1a";;;;;
1421;"Aurland";"Sogn og fjordane fylke";2;;;;;
1422;"Lærdal";"Sogn og fjordane fylke";2;;;;;
1424;"Årdal";"Sogn og fjordane fylke";2;;;;;
1426;"Luster";"Sogn og fjordane fylke";2;;;;;
1428;"Askvoll";"Sogn og fjordane fylke";2;;;;;
1429;"Fjaler";"Sogn og fjordane fylke";2;;;;;
1430;"Gaular";"Sogn og fjordane fylke";2;;;;;
1431;"Jølster";"Sogn og fjordane fylke";2;;;;;
1432;"Førde";"Sogn og fjordane fylke";"1a";;;;;
1433;"Naustdal";"Sogn og fjordane fylke";2;;;;;
1438;"Bremanger";"Sogn og fjordane fylke";2;;;;;
1439;"Vågsøy";"Sogn og fjordane fylke";2;;;;;
1441;"Selje";"Sogn og fjordane fylke";2;;;;;
1443;"Eid";"Sogn og fjordane fylke";2;;;;;
1444;"Hornindal";"Sogn og fjordane fylke";2;;;;;
1445;"Gloppen";"Sogn og fjordane fylke";2;;;;;
1449;"Stryn";"Sogn og fjordane fylke";2;;;;;
1502;"Molde";"Møre og Romsdal fylke";1;;;;;
1505;"Kristiansund";"Møre og Romsdal fylke";1;;;;;
1504;"Ålesund";"Møre og Romsdal fylke";1;;;;;
1511;"Vanylven";"Møre og Romsdal fylke";3;;;;;
1514;"Sande";"Møre og Romsdal fylke";2;;;;;
1515;"Herøy";"Møre og Romsdal fylke";"1a";;;;;
1516;"Ulstein";"Møre og Romsdal fylke";1;;;;;
1517;"Hareid";"Møre og Romsdal fylke";1;;;;;
1519;"Volda";"Møre og Romsdal fylke";1;;;;;
1520;"Ørsta";"Møre og Romsdal fylke";1;;;;;
1523;"Ørskog";"Møre og Romsdal fylke";1;;;;;
1524;"Norddal";"Møre og Romsdal fylke";2;;;;;
1525;"Stranda";"Møre og Romsdal fylke";2;;;;;
1526;"Stordal";"Møre og Romsdal fylke";2;;;;;
1528;"Sykkylven";"Møre og Romsdal fylke";1;;;;;
1529;"Skodje";"Møre og Romsdal fylke";1;;;;;
1531;"Sula";"Møre og Romsdal fylke";1;;;;;
1532;"Giske";"Møre og Romsdal fylke";1;;;;;
1534;"Haram";"Møre og Romsdal fylke";"1a";;;;;
1535;"Vestnes";"Møre og Romsdal fylke";2;;;;;
1539;"Rauma";"Møre og Romsdal fylke";2;;;;;
1543;"Nesset";"Møre og Romsdal fylke";2;;;;;
1545;"Midsund";"Møre og Romsdal fylke";"1a";;;;;
1546;"Sandøy";"Møre og Romsdal fylke";2;;;;;
1547;"Aukra";"Møre og Romsdal fylke";"1a";;;;;
1548;"Fræna";"Møre og Romsdal fylke";1;;;;;
1551;"Eide";"Møre og Romsdal fylke";"1a";;;;;
1554;"Averøy";"Møre og Romsdal fylke";1;;;;;
1557;"Gjemnes";"Møre og Romsdal fylke";"1a";;;;;
1560;"Tingvoll";"Møre og Romsdal fylke";2;;;;;
1563;"Sunndal";"Møre og Romsdal fylke";2;;;;;
1566;"Surnadal";"Møre og Romsdal fylke";3;;;;;
1567;"Rindal";"Møre og Romsdal fylke";3;;;;;
1571;"Halsa";"Møre og Romsdal fylke";3;;;;;
1573;"Smøla";"Møre og Romsdal fylke";4;;;;;
1576;"Aure";"Møre og Romsdal fylke";3;;;;;
1601;"Trondheim";"Sør-Trøndelag fylke";1;;;;;
1612;"Hemne";"Sør-Trøndelag fylke";3;;;;;
1613;"Snillfjord";"Sør-Trøndelag fylke";3;;;;;
1617;"Hitra";"Sør-Trøndelag fylke";4;;;;;
1620;"Frøya";"Sør-Trøndelag fylke";4;;;;;
1621;"Ørland";"Sør-Trøndelag fylke";2;;;;;
1622;"Agdenes";"Sør-Trøndelag fylke";2;;;;;
1624;"Rissa";"Sør-Trøndelag fylke";"1a";;;;;
1627;"Bjugn";"Sør-Trøndelag fylke";3;;;;;
1630;"Åfjord";"Sør-Trøndelag fylke";4;;;;;
1632;"Roan";"Sør-Trøndelag fylke";4;;;;;
1633;"Osen";"Sør-Trøndelag fylke";4;;;;;
1634;"Oppdal";"Sør-Trøndelag fylke";3;;;;;
1635;"Rennebu";"Sør-Trøndelag fylke";3;;;;;
1636;"Meldal";"Sør-Trøndelag fylke";3;;;;;
1638;"Orkdal";"Sør-Trøndelag fylke";1;;;;;
1640;"Røros";"Sør-Trøndelag fylke";3;;;;;
1644;"Holtålen";"Sør-Trøndelag fylke";3;;;;;
1648;"Midtre Gauldal";"Sør-Trøndelag fylke";"1a";;;;;
1653;"Melhus";"Sør-Trøndelag fylke";1;;;;;
1657;"Skaun";"Sør-Trøndelag fylke";1;;;;;
1662;"Klæbu";"Sør-Trøndelag fylke";1;;;;;
1663;"Malvik";"Sør-Trøndelag fylke";1;;;;;
1664;"Selbu";"Sør-Trøndelag fylke";"1a";;;;;
1665;"Tydal";"Sør-Trøndelag fylke";3;;;;;
1702;"Steinkjer";"Nord-Trøndelag fylke";1;;;;;
1703;"Namsos";"Nord-Trøndelag fylke";4;;;;;
1711;"Meråker";"Nord-Trøndelag fylke";2;;;;;
1714;"Stjørdal";"Nord-Trøndelag fylke";1;;;;;
1717;"Frosta";"Nord-Trøndelag fylke";"1a";;;;;
1718;"Leksvik";"Nord-Trøndelag fylke";"1a";;;;;
1719;"Levanger";"Nord-Trøndelag fylke";1;;;;;
1721;"Verdal";"Nord-Trøndelag fylke";1;;;;;
1724;"Verran";"Nord-Trøndelag fylke";2;;;;;
1725;"Namdalseid";"Nord-Trøndelag fylke";4;;;;;
1756;"Inderøy ";"Nord-Trøndelag fylke";2;;;;;
1736;"Snåsa";"Nord-Trøndelag fylke";3;;;;;
1738;"Lierne";"Nord-Trøndelag fylke";4;;;;;
1739;"Røyrvik";"Nord-Trøndelag fylke";4;;;;;
1740;"Namsskogan";"Nord-Trøndelag fylke";4;;;;;
1742;"Grong";"Nord-Trøndelag fylke";4;;;;;
1743;"Høylandet";"Nord-Trøndelag fylke";4;;;;;
1744;"Overhalla";"Nord-Trøndelag fylke";4;;;;;
1748;"Fosnes";"Nord-Trøndelag fylke";4;;;;;
1749;"Flatanger";"Nord-Trøndelag fylke";4;;;;;
1750;"Vikna";"Nord-Trøndelag fylke";4;;;;;
1751;"Nærøy";"Nord-Trøndelag fylke";4;;;;;
1755;"Leka";"Nord-Trøndelag fylke";4;;;;;
1804;"Bodø";"Nordland fylke";"4a";;;;;
1805;"Narvik";"Nordland fylke";4;;;;;
1811;"Bindal";"Nordland fylke";4;;;;;
1812;"Sømna";"Nordland fylke";4;;;;;
1813;"Brønnøy";"Nordland fylke";4;;;;;
1815;"Vega";"Nordland fylke";4;;;;;
1816;"Vevelstad";"Nordland fylke";4;;;;;
1818;"Herøy";"Nordland fylke";4;;;;;
1820;"Alstahaug";"Nordland fylke";4;;;;;
1822;"Leirfjord";"Nordland fylke";4;;;;;
1824;"Vefsn";"Nordland fylke";4;;;;;
1825;"Grane";"Nordland fylke";4;;;;;
1826;"Hattfjelldal";"Nordland fylke";4;;;;;
1827;"Dønna";"Nordland fylke";4;;;;;
1828;"Nesna";"Nordland fylke";4;;;;;
1832;"Hemnes";"Nordland fylke";4;;;;;
1833;"Rana";"Nordland fylke";4;;;;;
1834;"Lurøy";"Nordland fylke";4;;;;;
1835;"Træna";"Nordland fylke";4;;;;;
1836;"Rødøy";"Nordland fylke";4;;;;;
1837;"Meløy";"Nordland fylke";4;;;;;
1838;"Gildeskål";"Nordland fylke";4;;;;;
1839;"Beiarn";"Nordland fylke";4;;;;;
1840;"Saltdal";"Nordland fylke";4;;;;;
1841;"Fauske";"Nordland fylke";4;;;;;
1845;"Sørfold";"Nordland fylke";4;;;;;
1848;"Steigen";"Nordland fylke";4;;;;;
1849;"Hamarøy";"Nordland fylke";4;;;;;
1850;"Tysfjord";"Nordland fylke";4;;;;;
1851;"Lødingen";"Nordland fylke";4;;;;;
1852;"Tjeldsund";"Nordland fylke";4;;;;;
1853;"Evenes";"Nordland fylke";4;;;;;
1854;"Ballangen";"Nordland fylke";4;;;;;
1856;"Røst";"Nordland fylke";4;;;;;
1857;"Værøy";"Nordland fylke";4;;;;;
1859;"Flakstad";"Nordland fylke";4;;;;;
1860;"Vestvågøy";"Nordland fylke";4;;;;;
1865;"Vågan";"Nordland fylke";4;;;;;
1866;"Hadsel";"Nordland fylke";4;;;;;
1867;"Bø";"Nordland fylke";4;;;;;
1868;"Øksnes";"Nordland fylke";4;;;;;
1870;"Sortland";"Nordland fylke";4;;;;;
1871;"Andøy";"Nordland fylke";4;;;;;
1874;"Moskenes";"Nordland fylke";4;;;;;
1903;"Harstad";"Troms fylke";4;;;;;
1902;"Tromsø";"Troms fylke";"4a";;;;;
1911;"Kvæfjord";"Troms fylke";4;;;;;
1913;"Skånland";"Troms fylke";4;;;;;
1917;"Ibestad";"Troms fylke";4;;;;;
1919;"Gratangen";"Troms fylke";4;;;;;
1920;"Lavangen";"Troms fylke";4;;;;;
1922;"Bardu";"Troms fylke";4;;;;;
1923;"Salangen";"Troms fylke";4;;;;;
1924;"Målselv";"Troms fylke";4;;;;;
1925;"Sørreisa";"Troms fylke";4;;;;;
1926;"Dyrøy";"Troms fylke";4;;;;;
1927;"Tranøy";"Troms fylke";4;;;;;
1928;"Torsken";"Troms fylke";4;;;;;
1929;"Berg";"Troms fylke";4;;;;;
1931;"Lenvik";"Troms fylke";4;;;;;
1933;"Balsfjord";"Troms fylke";4;;;;;
1936;"Karlsøy";"Troms fylke";5;;;;;
1938;"Lyngen";"Troms fylke";5;;;;;
1939;"Storfjord";"Troms fylke";5;;;;;
1940;"Gáivuotna Kåfjord";"Troms fylke";5;;;;;
1941;"Skjervøy";"Troms fylke";5;;;;;
1942;"Nordreisa";"Troms fylke";5;;;;;
1943;"Kvænangen";"Troms fylke";5;;;;;
2002;"Vardø";"Finnmark fylke";5;;;;;
2003;"Vadsø";"Finnmark fylke";5;;;;;
2004;"Hammerfest";"Finnmark fylke";5;;;;;
2011;"Guovdageaidnu Kautokeino";"Finnmark fylke";5;;;;;
2012;"Alta";"Finnmark fylke";5;;;;;
2014;"Loppa";"Finnmark fylke";5;;;;;
2015;"Hasvik";"Finnmark fylke";5;;;;;
2017;"Kvalsund";"Finnmark fylke";5;;;;;
2018;"Måsøy";"Finnmark fylke";5;;;;;
2019;"Nordkapp";"Finnmark fylke";5;;;;;
2020;"Porsanger Porsángu Porsanki";"Finnmark fylke";5;;;;;
2021;"Kárásjohka Karasjok";"Finnmark fylke";5;;;;;
2022;"Lebesby";"Finnmark fylke";5;;;;;
2023;"Gamvik";"Finnmark fylke";5;;;;;
2024;"Berlevåg";"Finnmark fylke";5;;;;;
2025;"Deatnu Tana";"Finnmark fylke";5;;;;;
2027;"Unjárga Nesseby";"Finnmark fylke";5;;;;;
2028;"Båtsfjord";"Finnmark fylke";5;;;;;
2030;"Sør-Varanger";"Finnmark fylke";5;;;;;
